familyId,bucket,priority,datasetCount,distinctSqlCount,moduleGuess,reportNames,datasetNames,coreTables,params,hasNonSelectRiskCount,hasFanruanMacroCount,hasDynamicParameterCount,reason
family_002,usable_reference_then_template,high,114,77,production,明日任务 | 昨日任务 | 今日任务 | 前日任务 | 历史未完工日无 | 任务执行统计报表（统计） | 外协大屏分析 | 拉动式生产PMC,jobper | ds1 | 到料 | 计划落实情况 | 送打光模头查询 | 分配器 | 澄江产品 | 协作单位派发统计,Erp.EmpBasic | Erp.JobAsmbl | Erp.JobHead | Erp.JobOpDtl | Erp.JobOper | Erp.LaborDtl | Erp.OpMaster | Erp.ResourceGroup,产品编号 | 大于实际到料 | 大于实际完工 | 完工日期大于 | 完工日期小于 | 实际到料时间 | 实际完工时间 | 工单编号 | 工序 | 开始日期 | 截止日期 | 报工者 | 状态 | 班组 | 要求完工日期 | 要求完工时间开始 | 要求完工时间结束 | 计划时间 | 资源部门,0,80,80,生产任务/拉动式PMC family，覆盖面大但变体多，先作为参考，后续拆成今日任务/明日任务/完工统计等模板。
family_006,template_candidate_after_schema_mapping,high,52,11,unknown,技术部BOM | ECO查询 - 副本 | ECO查询 | BOM明细 | 随机备件明细 | 工单物料需求 | 缺料明细 | 技术部BOM查询,ds1 | ECO | 详细产品,PUB.ECOMtl | PUB.ECORev | PUB.Part,partnum | 产品编号 | 完工日期大于 | 完工日期小于 | 版本编号,0,37,37,BOM/ECO 查询价值高，SQL结构相对清楚；需确认 PUB.* 与 Erp.* 映射后可做 BOM 明细模板。
family_008,template_candidate_after_schema_mapping,high,37,17,unknown,产品报价 | 产品购销合同 | 产品配置 | 产品配置1,ds1 | 合流器参数 | 静态混合器参数 | 模头参数 | 共挤复合分配器参数 | 过滤器参数 | 熔体计量泵参数 | 熔体管道参数,JCJDY.dbo.ProductQuotation | JCJDY.dbo.ProductQuotationDetail,ContractNo,0,37,37,产品报价/配置外部库 JCJDY，ContractNo 参数明确；确认外部库表结构后可做报价/合同配置查询模板。
family_009,usable_reference_then_template,high,33,32,production,今日任务 | 历史任务 | 昨日任务 | 明日任务 | 拉动式任务执行报表 完工时间 | 拉动式任务督导表完工时间 | 圆模接收未开工统计 | 拉动式任务执行报表,jobper | ds1,Erp.EmpBasic | Erp.JobAsmbl | Erp.JobHead | Erp.JobOpDtl | Erp.JobOper | Erp.LaborDtl | Erp.OpMaster | Erp.Part | Erp.ResourceGroup,gynd | 产品编号 | 接收未开工 | 班组 | 要求完工日期 | 要求完工时间开始 | 要求完工时间结束 | 计划时间 | 资源部门,0,31,31,生产任务执行/过程跟进，高频价值高；变体很多且动态参数多，先参考后拆模板。
family_010,usable_reference_then_template,medium,30,29,sales,精诚模具销售驾驶舱（战区） | 精诚模具销售驾驶舱（集团） | buju | SalesReport | 区域,城市销量1 | 城市销量2 | 品牌销售2023 | 销售明细_ls | 销售明细2023 | 单品销售TOP10 | 22年战区数据 | 销售明细2022,Erp.Customer | Erp.OrderDtl | Erp.OrderHed | Erp.SalesTer,m | y | y1,0,22,22,销售驾驶舱/签约额/销售TOP，能用作销售分析参考；金额口径和部分 JOIN 缺 Company，需要重写后用。
family_013,metric_catalog,high,28,28,purchase,采购部原材料及时率 | 采购部原材料及时率1 | 采购部原材料及时率备份 | 供应商及时率排行榜 | 澄江采购结算审核单 | 澄江入库凭证单 | 澄江入库凭证单原版 | 采购员延期订单,ds1 | data | ds3 | ds2 | ds4,Erp.PODetail | Erp.POHeader | Erp.PORel | Erp.PurAgent | Erp.RcvDtl | Erp.RcvHead | Erp.Vendor,ENDDATE | enddate | month1 | startdate | year1 | 供应商 | 供应商类型 | 延期到货数 | 延期未到货数 | 开始日期 | 开始时间 | 截止日期 | 收货人 | 收货日期止 | 收货日期起 | 是否延期 | 结束时间 | 责任部门 | 采购单 | 采购单号 | 采购员,20,28,28,采购及时率、供应商及时率、延期订单，是业务指标口径，不能直接当明细模板。
family_014,template_candidate,medium,28,7,unknown,澄江详细记录（按日） | 澄江报工明细表(加工中心) | 澄江报工明细表(赵相) | 澄江报工明细表(车床) | 澄江报工明细表(陈丹) | 澄江报工明细表(飞刀) | 加工中心设备看板 | 澄江加工中心报工详细记录(聂工),资源群组 | sel | ds1 | ds2 | 设备分析,Erp.JCDept | Erp.ResourceGroup,部门,0,24,24,JCDept/ResourceGroup 部门班组维表查询，可作为班组/资源群组参数辅助查询。
family_015,metric_catalog,high,27,25,cross_module,采购分析表(不含新开供应商) | 采购分析表 | 采购分析表(不含材料) | 采购分析表(不含材料)-新 | 采购分析表(不含材料)-新2025 | 采购分析表(不含材料)-金属材料 | 采购分析表供应商类别(不含材料),降价表(明细) | 数据源(明细) | 降价表（供应商和类别） | 每月单价数量(同物料不同供应) | 每月单价趋势 | 降价表(采购员) | 降价表（供应商）,Erp.AnalysisCd | Erp.PODetail | Erp.POHeader | Erp.Part | Erp.PartClass | Erp.PartTran | Erp.ProdGrup | Erp.PurAgent | Erp.Vendor,交易开始时间 | 交易结束时间 | 物料号,15,27,27,采购分析、降价、单价趋势，口径重要但涉及 PartTran+PO+价格，适合指标/分析口径。
family_016,template_candidate,high,26,24,sales,buju | SalesReport | 区域 | 星空 | 粒子 | 进出口最终用户查询 | 项目阶段督导,每月下单量 | 当月每日下单量 | 产品ABC1 | 模头下单量 | 产品下单量 | 销售员销售指标1 | 外贸销售员销售指标 | 销售订单,Erp.OrderDtl | Erp.OrderHed,变动日期,0,1,1,销售订单/下单量/签约额，核心表 OrderHed+OrderDtl，结构较简单，可优先抽销售订单明细/趋势模板。
family_017,needs_split_or_low_value,low,25,8,unknown,生产用工单信息表 | 工单未发料信息 | 澄江报工跟进表 | 工单工序详情 | 物料跟踪表 | 生产用工单信息表1 | 客户订单毛利清单-配件 | 已入库项目进度查询,ds2 | ds1 | 群组,Erp.ProdGrup,,0,0,0,代表 SQL 只是 ProdGrup 群组查询，但 family 名混入工单/毛利/项目等，聚类过粗，需拆分后再判断。
family_019,usable_reference_then_template,medium,24,13,sales,全局数据表 | 未来产能分析 | 全局数据表 - 优化(2) | 全局数据表 - 副本 | 喷丝板进度表 | 熔喷进度表 | 计量泵未来产能分析（未集成） | Chain,当月每日下单量 | 销售订单任务 | 配件订单任务 | 营销接单 | ds1 | sales | 生产负荷评估,PUB.OrderDtl | PUB.OrderHed,交货日期大于 | 交货日期小于 | 产品编号,0,10,10,PUB 销售订单/产能/物流费用类，可作参考；需确认 PUB schema 并拆销售订单任务/未来交付模板。
family_021,usable_reference_then_template,high,21,16,cross_module,生产完工统计 | 新产品任务数量去隐藏版本 | 攻坚产品总表 | 产品延期统计 | 外协大屏分析 | 产品进度 | 采购阶段每日到料情况 | 完工查询,完工总检验完工 | 每日派发 | 产品延期统计 | 销售订单任务 | 延期统计 | 生产统计 | 订单统计 | ds1,Erp.JobAsmbl | Erp.JobHead | Erp.JobOper | Erp.JobProd | Erp.LaborDtl | Erp.OrderDtl | Erp.OrderHed,int | left | right | 交货日期大于 | 交货日期小于 | 交货期 | 产品编号 | 完工状态 | 工单编号 | 年份 | 状态,0,15,15,销售订单-工单-工序跨模块进度/延期，NL2SQL价值高；先参考，后抽项目/订单进度模板。
family_022,usable_reference_then_template,medium,21,12,production,采购阶段每日到料情况 | 每日报表自动刷新 | 任务执行统计报表 | 月度排产计划 | 送打光查询 | 每日任务执行统计报表 | 拉动式生产PMC(JCBM)2.0 | 拉动式生产PMC(WG)2.0,jobper | 计划落实情况 | ds1 | 送打光模头查询 | 协作单位派发统计 | 外协详细数据,PUB.EmpBasic | PUB.JobAsmbl | PUB.JobHead | PUB.JobOpDtl | PUB.JobOper | PUB.LaborDtl | PUB.OpMaster | PUB.ResourceGroup,产品编号 | 班组 | 要求完工日期 | 要求完工日期开始 | 要求完工日期结束 | 要求完工时间开始 | 要求完工时间结束 | 要求开工日期 | 资源部门,0,8,8,PUB 生产任务/派发统计，与 family_002 类似，需和 Erp 版本合并或映射。
family_023,usable_reference_then_template,high,21,8,cross_module,全局数据表 | 打光全局数据表  | 打光全局数据表已打光 | 全局数据表 - 优化(2) | 全局数据表 - 副本 | 延期完工数据详细表  | 完工分析 | 打光全局数据表  - 副本,订单任务 | 完工分析,PUB.JobHead | PUB.JobProd | PUB.OrderDtl | PUB.OrderHed,交货日期大于 | 交货日期小于 | 完工日期大于 | 完工日期小于,0,20,20,全局数据表/打光/完工分析，订单-工单进度 family，适合参考后模板化。
family_024,metric_catalog,high,20,19,production,装配车间工时统计表 | 装配车间产品工时统计表 | 涂布产品工时统计表 | 涂布工时统计表 | 装配车间详细记录 | 重复提交督导 | 各班组完工记录分析  | 涂布详细记录,labordtl | 每月工时,Erp.EmpBasic | Erp.JobAsmbl | Erp.JobHead | Erp.JobOper | Erp.LaborDtl | Erp.ProdGrup | Erp.ResourceGroup,a | b | 工单编号 | 工序编号 | 工序部门 | 要求完工日期大于 | 要求完工日期小于,4,13,13,工时统计/加工工时 family，计算口径明显，适合工时指标目录，明细查询另抽模板。
